DateTime,Global_active_power
5585,92695.36961
5586,92270.60664
5587,92023.95555
5588,91784.69753
5589,92143.74513
5590,91257.1134
5591,91075.98046
5592,90872.83698
5593,90294.26716
5594,92063.70877
5595,92470.44183
5596,92207.72595
5597,92049.16002
5598,91803.80765
5599,91553.27453
5600,90742.2391
5601,90477.77975
5602,89140.48653
5603,88286.78378999999
5604,87645.08312
5605,86025.40289
5606,84810.18097
5607,83578.44917
5608,81965.0166
5609,80663.47726
5610,79338.99265
5611,76737.8447
5612,74392.01604
5613,73007.39486
5614,71575.93488
5615,70148.2625
5616,68581.5322
5617,66615.93551
5618,64863.14658
5619,63242.41535
5620,62080.68811
5621,60523.119170000005
5622,58872.29781
5623,57711.335040000005
5624,56935.73412
5625,55507.87467
5626,54669.08432
5627,54098.24115
5628,53262.75521
5629,52389.330140000005
5630,52006.51838
5631,51406.94847
5632,50880.41831
5633,50672.00913
5634,49971.48441999999
5635,50005.81006999999
5636,50035.55387
5637,49721.32822
5638,49222.10805
5639,49148.78912
5640,49287.84984
5641,49659.49889
5642,49918.70353
5643,50003.91693
5644,50161.19779
5645,50359.56223
5646,50452.55596
5647,50257.68582
5648,50154.10648
5649,50595.42371
5650,51064.4006
5651,53340.87099
5652,55044.09602
5653,53797.23053
5654,52477.360060000006
5655,52512.51559
5656,51228.49552999999
5657,50430.35384
5658,47944.15527
5659,46183.96702
5660,44394.32422
5661,43899.86399
5662,44098.89502
5663,44794.21956
5664,45650.47518
5665,46987.92121
5666,47467.28985
5667,49707.40531
5668,50933.84549
5669,52092.53371
5670,52956.21998
5671,54386.05155
5672,55614.5275
5673,56608.81713
5674,58258.82963
5675,59753.27098
5676,60893.47439
5677,61364.79299
5678,62079.82887
5679,64577.15342
5680,65612.9586
5681,66126.93504
5682,67060.21785
5683,67399.662
5684,68314.71157
5685,68335.4812
5686,68921.52223
5687,69353.90924
5688,70078.47395
5689,70635.86886
5690,70551.23427
5691,70578.87395
5692,71031.37769
5693,71124.89467
5694,71441.53618
5695,70892.30932
5696,70823.40943999999
5697,70781.47937
5698,70687.59475999999
5699,70822.71242
5700,70708.21811
5701,70924.1569
5702,70700.12121
5703,70542.94946
5704,70021.70229
5705,70045.44950999999
5706,70090.2788
5707,69538.14223
5708,69405.93457
5709,69138.70504
5710,68744.50143
5711,68692.30529999999
5712,68135.05617
5713,68282.75799
5714,67919.25373
5715,67219.80327
5716,67001.7331
5717,66866.40491
5718,67241.89858000001
5719,66823.42419
5720,67116.35941
5721,68412.61574000001
5722,70379.93545
5723,72944.8802
5724,77206.01565
5725,83846.16623999999
5726,89231.24535
5727,91521.24547
5728,92326.614
5729,92575.08986
5730,91944.36867
5731,91621.85923
5732,91528.36883
5733,92004.65434
5734,91498.99915
5735,91299.56392
5736,91178.07089
5737,90980.15521
5738,91702.77823
5739,92338.22092
5740,92474.52457
5741,92095.07073
5742,91515.7875
5743,91484.93585
5744,91329.17769
5745,89988.95782000001
5746,88850.34178
5747,88249.31721000001
5748,87304.67382
5749,86576.29891000001
5750,85806.62294
5751,84548.37342
5752,83504.1077
5753,81966.51235
5754,80413.58311
5755,78512.76251
5756,76494.9162
5757,74581.11824
5758,72927.14890999999
5759,70612.11037000001
5760,69257.88578
5761,67103.39160999999
5762,65196.58485
5763,63758.42196000001
5764,62348.37742999999
5765,61065.35435
5766,59459.45104
5767,57629.75697
5768,57169.1899
5769,56200.62223
5770,55106.73039
5771,54236.8641
5772,53591.93101
5773,52755.35686
5774,52044.51556
5775,51709.71129
5776,51298.27071
5777,50995.36873
5778,50432.60916
5779,50179.79868
5780,49865.02986
5781,49575.15377
5782,48995.74133
5783,48999.93612
5784,49273.02361999999
5785,48723.23926
5786,48751.10658
5787,49482.95598
5788,49156.53094
5789,49232.2837
5790,49282.83775
5791,49564.490880000005
5792,49704.00019
5793,50051.25976
5794,50407.96515
5795,52953.18497
5796,53932.20539
5797,53366.78456
5798,52550.91712
5799,52771.3428
5800,51532.41459
5801,50320.97925
5802,48436.93773
5803,46835.63810999999
5804,45412.18498
5805,45194.13313
5806,45484.05395
5807,45639.2104
5808,46764.45438
5809,47542.01013
5810,48888.50145
5811,50013.78251999999
5812,51349.16202
5813,52497.581860000006
5814,54402.03993
5815,55384.3847
5816,51546.07324
5817,53071.54984
5818,55093.76306
5819,56353.40656999999
5820,57690.30525
5821,59613.12274
5822,61432.48744999999
5823,63364.63608
5824,63942.8617
5825,64799.06923
5826,65418.64746
5827,66121.70443
5828,66731.89735
5829,67438.53057999999
5830,67684.4436
5831,67798.64265
5832,68367.74866
5833,69180.49296
5834,69358.44771000001
5835,69051.54432
5836,68460.85326
5837,68341.54862
5838,68005.87460000001
5839,67789.33775
5840,68010.65377
5841,68992.09769
5842,69418.59399
5843,69505.67989999999
5844,69986.99302000001
5845,70323.09371
5846,70166.65619000001
5847,70358.35148000001
5848,70021.07563
5849,70227.64905
5850,70812.53471
5851,71631.53887
5852,71639.67305
5853,72359.69264
5854,72798.72203
5855,72685.16279999999
5856,72641.92071
5857,72721.82416
5858,73280.37549
5859,73941.29557
5860,73932.17494
5861,73575.58459
5862,73967.49968000001
5863,74466.61389000001
5864,75026.84784999999
5865,76339.62171
5866,77611.93315
5867,79869.91732000001
5868,83887.46729999999
5869,89204.93481
5870,93063.02145
5871,95085.36284
5872,95922.68054
5873,95139.07015
5874,94944.43808
5875,94123.68795
5876,93658.68137
5877,94260.25961
5878,93780.70792
5879,93044.64364
5880,92960.50849
5881,92325.11352
5882,93538.93095
5883,93620.77842
5884,93595.77359
5885,93113.13131
5886,92943.53486
5887,92613.55068
5888,91218.92551
5889,90188.88601
5890,89015.86617
5891,87837.97137
5892,87115.11655
5893,85926.89169
5894,84794.38767
5895,83600.23786
5896,82478.14603999999
5897,81181.89219000001
5898,80096.30494
5899,78542.40389
5900,77666.68763999999
5901,75700.06721000001
5902,73957.67354
5903,72049.71389
5904,69744.39769
5905,67993.88248999999
5906,65715.61775
5907,64054.1506
5908,62426.702990000005
5909,61203.27858
5910,59925.54397
5911,58491.8407
5912,57421.45829000001
5913,56291.71099
5914,55340.37464
5915,55169.37789
5916,54419.67949
5917,53406.95576
5918,52756.9234
5919,52024.03733
5920,51907.85721
5921,51401.20305
5922,51074.23764
5923,50600.51898
5924,50434.77376
5925,49890.58133
5926,49732.97411
5927,49542.66286
5928,49403.78222
5929,49179.63098
5930,49386.00106
5931,49318.607240000005
5932,49113.82522
5933,49406.55623
5934,49582.16209
5935,49655.90635
5936,49985.03061
5937,50237.882000000005
5938,50929.09289
5939,53224.5652
5940,54005.61924
5941,53304.72062000001
5942,52525.47695
5943,52115.25994
5944,50951.83293
5945,49246.70834
5946,47032.07426000001
5947,45257.94176
5948,43650.04744
5949,42032.551357
5950,42540.976252
5951,43287.28211
5952,43814.53637
5953,44821.88335
5954,45946.18526
5955,46808.3487
5956,48175.36181
5957,49534.21263
5958,51105.20552
5959,51951.97372
5960,53164.79224
5961,54504.25358
5962,56002.76719
5963,57999.651840000006
5964,59338.85549
5965,60748.67871
5966,61729.5239
5967,63380.16507
5968,64700.41434
5969,65815.12638999999
5970,66954.95268
5971,67835.40669999999
5972,68683.93251
5973,68934.91439
5974,69453.55129
5975,70451.79441
5976,70691.42202
5977,70847.58752
5978,71727.91372000001
5979,72123.65
5980,71663.97995000001
5981,72117.23488
5982,72022.64329
5983,71620.23155
5984,71690.11042000001
5985,71987.37641
5986,72323.65633
5987,72363.26813000001
5988,72184.37096
5989,72371.07888
5990,72576.48623000001
5991,71976.29099
5992,72076.86206
5993,71850.48381
5994,71747.94795
5995,71048.19471
5996,69692.99743
5997,69718.31537
5998,69956.84929
5999,70203.21156
6000,70350.00258
6001,70836.07429
6002,71751.96981
6003,71997.42377
6004,71380.46273
6005,70552.17617
6006,69871.10231999999
6007,70732.41312
6008,72141.37975
6009,72849.09038000001
6010,73286.07282999999
